order_id,name,email,phone,package_id,price,status,proof_url,created_at,total_income
"EXM-20260614-23LSD","arief","ariefhuda434@gmail.com","08227121229","bersapma","0","pending","-","Sun Jun 14 2026 10:22:35 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-BUH8B","ada","ariefhuda434@gmail.com","fa","trio","120000","verified","/uploads/EXM-20260613-BUH8B-1781375169685.jpg","Sun Jun 14 2026 01:26:00 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-8G595","adf","ariefhuda434@gmail.com","adf","trio","120000","confirmed","/uploads/EXM-20260613-8G595-1781374610943.jpg","Sun Jun 14 2026 01:16:41 GMT+0700 (Western Indonesia Time)","120000"
"EXM-20260613-JNQSY","q","ariefhuda434@gmail.com","q","trio","120000","verified","/uploads/EXM-20260613-JNQSY-1781374358831.jpg","Sun Jun 14 2026 01:12:27 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-TT6Z7","araefa","ariefhuda434@gmail.com","123123123","trio","120000","verified","/uploads/EXM-20260613-TT6Z7-1781373136632.jpg","Sun Jun 14 2026 00:52:06 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-299X9","ar","ariefhuda434@gmail.com","08227221231","trio","120000","verified","/uploads/EXM-20260613-299X9-1781373074177.jpg","Sun Jun 14 2026 00:51:01 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-HQMBB","ar","ariefhuda434@gmail.com","082272118779","trio","120000","verified","/uploads/EXM-20260613-HQMBB-1781372783306.jpg","Sun Jun 14 2026 00:45:29 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-TAMAC","anu","ariefhuda434@gmail.com","123123","trio","120000","verified","/uploads/EXM-20260613-TAMAC-1781372510245.jpg","Sun Jun 14 2026 00:41:39 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-W9W9N","eq","ariefhuda434@gmail.com","14321234","trio","120000","verified","/uploads/EXM-20260613-W9W9N-1781372153294.jpg","Sun Jun 14 2026 00:35:30 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-G2YC7","Agys","ariefhuda434@gmail.com","082272118779","trio","120000","verified","/uploads/EXM-20260613-G2YC7-1781371806696.jpg","Sun Jun 14 2026 00:29:14 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-SLL6D","Arief","ariefhuda434@gmail.com","Arief2006","party","0","verified","/uploads/EXM-20260613-SLL6D-1781370470951.png","Sun Jun 14 2026 00:05:43 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-VG9J4","Arief","ariefhuda434@gmail.com","082272118779","squad","0","confirmed","/uploads/EXM-20260613-VG9J4-1781369229982.jpg","Sat Jun 13 2026 23:46:39 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-FU4E9","ar","ariefhuda434@gmail.com","082272118779","trio","120000","confirmed","/uploads/EXM-20260613-FU4E9-1781367684073.jpg","Sat Jun 13 2026 23:21:05 GMT+0700 (Western Indonesia Time)","120000"
"EXM-20260613-RN9WN","MULONO","ariefhuda434@gmail.com","082272118779","single","0","confirmed","/uploads/EXM-20260613-RN9WN-1781367555087.jpg","Sat Jun 13 2026 23:18:26 GMT+0700 (Western Indonesia Time)","0"
"EXM-20260613-UXML7","arief","ariefhuda434@gmail.com","082272118779","trio","120000","confirmed","/uploads/EXM-20260613-UXML7-1781364089433.jpg","Sat Jun 13 2026 22:21:16 GMT+0700 (Western Indonesia Time)","120000"
"EXM1781361019779","ariefhuda","ariefhuda434@gmail.com","082272118779","trio","120000","confirmed","/uploads/EXM1781361019779-1781362869573.jpg","Sat Jun 13 2026 21:30:19 GMT+0700 (Western Indonesia Time)","120000"
